-5.7500,-1.5800,0.6325,0.6325
-5.7500,-1.6300,0.6325,0.6325
-5.7000,-1.6800,0.6265,0.6265
-5.6500,-1.7300,0.6103,0.6103
-5.6000,-1.7800,0.6021,0.6021
-5.5500,-1.8300,0.6021,0.6021
-5.5500,-1.8800,0.6021,0.6021
-5.5000,-1.9300,0.6103,0.6103
-5.4500,-1.9800,0.6265,0.6265
-5.4000,-2.0300,0.6042,0.6042
-5.3500,-2.0300,0.6103,0.6103
-5.3000,-2.0800,0.6042,0.6042
-5.2500,-2.0800,0.6042,0.6042
-5.2000,-2.0800,0.5831,0.5831
-5.1500,-2.1300,0.6021,0.6021
-5.1000,-2.1300,0.5852,0.5852
-5.0500,-2.1300,0.5701,0.5701
-5.0000,-2.1300,0.5590,0.5590
-4.9500,-2.1300,0.5523,0.5523
-4.9000,-2.1300,0.5500,0.5500
-4.8500,-2.1300,0.5500,0.5500
-4.8000,-2.1300,0.5500,0.5500
-4.7500,-2.1300,0.5500,0.5500
-4.7000,-2.0800,0.5000,0.5000
-4.6500,-2.0800,0.5000,0.5000
-4.6000,-2.0800,0.5025,0.5025
-4.5500,-2.0800,0.5099,0.5099
-4.5000,-2.0800,0.5220,0.5220
-4.4500,-2.0300,0.4924,0.4924
-4.4000,-2.0300,0.5148,0.5148
-4.3500,-2.0300,0.5385,0.5385
-4.3000,-2.0300,0.5148,0.5148
-4.2500,-1.9800,0.5220,0.5220
-4.2000,-1.9800,0.5148,0.5148
-4.1500,-1.9300,0.5099,0.5099
-4.1000,-1.8800,0.4743,0.4743
-4.0500,-1.8800,0.4924,0.4924
-4.0000,-1.8300,0.4717,0.4717
-3.9500,-1.7800,0.4472,0.4472
-3.9000,-1.7300,0.4123,0.4123
-3.8500,-1.6800,0.3808,0.3808
-3.8000,-1.6300,0.3606,0.3606
-3.7500,-1.5800,0.3536,0.3536
-3.7000,-1.5300,0.3162,0.3162
-3.6500,-1.5300,0.3202,0.3202
-3.6000,-1.4800,0.3202,0.3202
-3.5500,-1.4300,0.3202,0.3202
-3.5000,-1.3800,0.3202,0.3202
-3.4500,-1.3300,0.3202,0.3202
-3.4000,-1.2800,0.3162,0.3162
-3.3500,-1.2300,0.2915,0.2915
-3.3000,-1.1800,0.2828,0.2828
-3.3000,-1.1300,0.2915,0.2915
-3.2500,-1.0800,0.3162,0.3162
-3.2000,-1.0300,0.3202,0.3202
-3.2000,-0.9800,0.3162,0.3162
-3.1500,-0.9300,0.3354,0.3354
-3.1000,-0.8800,0.3536,0.3536
-3.0500,-0.8300,0.3536,0.3536
-3.0500,-0.7800,0.3536,0.3536
-3.0000,-0.7300,0.3606,0.3606
-3.0000,-0.6800,0.3354,0.3354
-2.9500,-0.6300,0.3640,0.3640
-2.9500,-0.5800,0.3536,0.3536
-2.9000,-0.5300,0.4000,0.4000
-2.9000,-0.4800,0.3905,0.3905
-2.8500,-0.4300,0.3808,0.3808
-2.8500,-0.3800,0.3606,0.3606
-2.8000,-0.3300,0.3808,0.3808
-2.7500,-0.2800,0.3606,0.3606
-2.7500,-0.2300,0.3536,0.3536
-2.7000,-0.1800,0.3606,0.3606
-2.6500,-0.1300,0.3536,0.3536
-2.6500,-0.0800,0.3536,0.3536
-2.6000,-0.0300,0.3606,0.3606
-2.5500,0.0200,0.3808,0.3808
-2.5500,0.0700,0.3640,0.3640
-2.5000,0.1200,0.4031,0.4031
-2.5000,0.1700,0.4000,0.4000
-2.5000,0.2200,0.4000,0.4000
-2.4500,0.2700,0.4500,0.4500
-2.4500,0.3200,0.4500,0.4500
-2.4500,0.3700,0.4500,0.4500
-2.4500,0.4200,0.4500,0.4500
-2.4500,0.4700,0.4500,0.4500
-2.4500,0.5200,0.4528,0.4528
-2.4500,0.5700,0.4610,0.4610
-2.4000,0.6200,0.5000,0.5000
-2.4500,0.6700,0.4924,0.4924
-2.4500,0.7200,0.5148,0.5148
-2.4500,0.7700,0.5385,0.5385
-2.4500,0.8200,0.5500,0.5500
-2.4500,0.8700,0.5385,0.5385
-2.5000,0.9200,0.5500,0.5500
-2.5000,0.9700,0.5500,0.5500
-2.5500,1.0200,0.5000,0.5000
-2.5500,1.0700,0.5000,0.5000
-2.6000,1.1200,0.4500,0.4500
-2.6000,1.1700,0.4500,0.4500
-2.6000,1.2200,0.4528,0.4528
-2.6000,1.2700,0.4610,0.4610
-2.6500,1.3200,0.4272,0.4272
-2.6500,1.3700,0.4472,0.4472
-2.6500,1.4200,0.4717,0.4717
-2.7000,1.4700,0.4610,0.4610
-2.7500,1.5200,0.4610,0.4610
-2.8000,1.5700,0.4610,0.4610
-2.8500,1.6200,0.4500,0.4500
-2.9000,1.6700,0.4031,0.4031
-2.9500,1.7200,0.3640,0.3640
-3.0000,1.7700,0.3354,0.3354
-3.0000,1.8200,0.3500,0.3500
-3.0500,1.8700,0.3000,0.3000
-3.1000,1.8700,0.3000,0.3000
-3.1500,1.8700,0.2915,0.2915
-3.2000,1.8700,0.2693,0.2693
-3.2500,1.8700,0.2550,0.2550
-3.3000,1.8700,0.2500,0.2500
-3.3500,1.9200,0.3000,0.3000
-3.4000,1.9200,0.3000,0.3000
-3.4500,1.9200,0.3000,0.3000
-3.5000,1.9200,0.3000,0.3000
-3.5500,1.9200,0.3000,0.3000
-3.6000,1.9200,0.3000,0.3000
-3.6500,1.9200,0.3000,0.3000
-3.7000,1.9200,0.3000,0.3000
-3.7500,1.9700,0.3500,0.3500
-3.8000,1.9700,0.3536,0.3536
-3.8500,1.9700,0.3640,0.3640
